date,Missouri,U.S.
1/1/05,.115,.125
1/1/06,.109,.120
1/1/07,.107,.121
1/1/08,.112,.124
1/1/09,.094,.123
1/1/10,.099,.119
1/1/11,.109,.118
1/1/12,.089,.113
1/1/13,.086,.113
1/1/14,.084,.111
