label,amt
Missouri,.01125801252
"Franklin",.00538719876
"Jefferson",.01658275631
"Lincoln",.02923654853
"St. Charles",.04927682894
"St. Louis County",.00299935928
"Warren",.02084484558
"St. Louis",-.00576023154
"Madison, Ill.",-.01032520114
"St. Clair, Ill.",-.01729621384
