acquired,parcel,handle,owner,address
city,10840001000,11084000100,NORTHSIDE REGENERATION LLC,2320 Montgomery St.
city,10840001100,11084000110,NORTHSIDE REGENERATION LLC,2316-2318 Montgomery St.
city,10840001200,11084000120,NORTHSIDE REGENERATION LLC,2312 Montgomery St.
city,10840001400,11084000140,NORTHSIDE REGENERATION LLC,2306 Montgomery St.
city,10840001500,11084000150,NORTHSIDE REGENERATION LLC,2304 Montgomery St.
city,10840001600,11084000160,NORTHSIDE REGENERATION LLC,2302 Montgomery St.
city,10840001800,11084000180,NORTHSIDE REGENERATION LLC,2609-2611 N. 23Rd St.
city,10840001900,11084000190,NORTHSIDE REGENERATION LLC,2301-2303 Warren St.
city,10840002000,11084000200,NORTHSIDE REGENERATION LLC,2307 Warren St.
city,10840002100,11084000210,NORTHSIDE REGENERATION LLC,2311-2315 Warren St.
city,10840002300,11084000230,NORTHSIDE REGENERATION LLC,2319 Warren St.
city,10840002500,11084000250,NORTHSIDE REGENERATION LLC,2321 Warren St.
city,10840002600,11084000260,NORTHSIDE REGENERATION LLC,2327 Warren St.
city,10840002900,11084000290,NORTHSIDE REGENERATION LLC,2337 Warren St.
city,10840003000,11084000300,NORTHSIDE REGENERATION LLC,2345 Warren St.
city,10840003100,11084000310,NORTHSIDE REGENERATION LLC,2347-2349 Warren St.
city,10850001500,11085000150,NORTHSIDE REGENERATION LLC,2309 Montgomery St.
city,10850001600,11085000160,NORTHSIDE REGENERATION LLC,2311 Montgomery St.
city,10850002200,11085000220,NORTHSIDE REGENERATION LLC,2325 Montgomery St.
city,10920001200,11092000120,NORTHSIDE REGENERATION LLC,2207 Montgomery St.
city,10920001300,11092000130,NORTHSIDE REGENERATION LLC,2209 Montgomery St.
city,10920001720,11092000172,NORTHSIDE REGENERATION LLC,2223 Montgomery St.
city,10920001730,11092000173,NORTHSIDE REGENERATION LLC,2225 Montgomery St.
city,10920001900,11092000190,NORTHSIDE REGENERATION LLC,2225 Montgomery St.
city,10930001500,11093000150,NORTHSIDE REGENERATION LLC,2619 N. 22Nd St.
city,10930001550,11093000155,NORTHSIDE REGENERATION LLC,2617 N. 22Nd St.
city,10930001600,11093000160,NORTHSIDE REGENERATIN LLC,2613-2615 N. 22Nd St.
city,10930001700,11093000170,NORTHSIDE REGENERATION LLC,2611 N. 22Nd St.
city,10930001800,11093000180,NORTHSIDE REGENERATION LLC,2205 Warren St.
city,10930001900,11093000190,NORTHSIDE REGENERATION LLC,2207 Warren St.
city,10930002100,11093000210,NORTHSIDE REGENERATION LLC,2211 Warren St.
city,10930002200,11093000220,NORTHSIDE REGENERATION LLC,2215 Warren St.
city,10930002300,11093000230,NORTHSIDE REGENERATION LLC,2217 Warren St.
city,10930002400,11093000240,NORTHSIDE REGENERATION LLC,2223 Warren St.
city,10930002500,11093000250,NORTHSIDE REGENERATION LLC,2225 Warren St.
city,10930002600,11093000260,NORTHSIDE REGENERATION LLC,2227 Warren St.
city,10930002700,11093000270,NORTHSIDE REGENERATION LLC,2231 Warren St.
city,10930003100,11093000310,NORTHSIDE REGENERATION LLC,2241-2245 Warren St.
city,10940000250,11094000025,NORTHSIDE REGENERATION LLC,2242 Warren St.
city,10940000400,11094000040,NORTHSIDE REGENERATION LLC,2240 Warren St.
city,10940000500,11094000050,NORTHSIDE REGENERATION LLC,2238 Warren St.
city,10940001000,11094000100,NORTHSIDE REGENERATION LLC,2222 Warren St.
city,10940001200,11094000120,NORTHSIDE REGENERATION LLC,2208-2218 Warren St.
city,10940001400,11094000140,NORTHSIDE REGENERATION LLC,2204-2206 Warren St.
city,10940001800,11094000180,NORTHSIDE REGENERATION LLC,2205 Benton St.
city,10940001900,11094000190,NORTHSIDE REGENERATION LLC,2207 Benton St.
city,10950000100,11095000010,NORTHSIDE REGENERATION LLC,2246-2250 Benton St.
city,10950000200,11095000020,NORTHSIDE REGENERATION LLC,2244 Benton St.
city,10950000300,11095000030,NORTHSIDE REGENERATION LLC,2240 Benton St.
city,10950000700,11095000070,NORTHSIDE REGENERATION LLC,2232 Benton St.
city,10950000800,11095000080,NORTHSIDE REGENERATION LLC,2230 Benton St.
city,10950000900,11095000090,NORTHSIDE REGENERATION LLC,2226 Benton St.
city,10950001700,11095000170,NORTHSIDE REGENERATION LLC,2411 N. 22Nd St.
city,10950001800,11095000180,NORTHSIDE REGENERATION LLC,2409 N. 22Nd St.
city,10950001900,11095000190,NORTHSIDE REGENERATION LLC,2407 N. 22Nd St.
city,10950002000,11095000200,NORTHSIDE REGENERATION LLC,2201 North Market St.
city,10950002300,11095000230,NORTHSIDE REGENERATION LLC,2213 North Market St.
city,10950002400,11095000240,NORTHSIDE REGENERATION LLC,2217 North Market St.
city,10950002800,11095000280,NORTHSIDE REGENERATION LLC,2225 North Market St.
city,10950002900,11095000290,NORTHSIDE REGENERATION LLC,2229 North Market St.
city,10950003000,11095000300,NORTHSIDE REGENERATION LLC,2231 North Market St.
city,10950003100,11095000310,NORTHSIDE REGENERATION LLC,2233-2237 North Market St.
city,10950003200,11095000320,NORTHSIDE REGENERTION LLC,2239 North Market St.
city,10950003300,11095000330,NORTHSIDE REGENERATION LLC,2241 North Market St.
city,10950003400,11095000340,NORTHSIDE REGENERATION LLC,2245 North Market St.
city,10950003600,11095000360,NORTHSIDE REGENERATION LLC,2249 North Market St.
city,10950003700,11095000370,NORTHSIDE REGENERATION LLC,2251 North Market St.
city,23450000100,12345000010,NORTHSIDE REGENERATION LLC,2248 North Market St.
city,23450000200,12345000020,NORTHSIDE REGENERATION LLC,2240-2244 North Market St.
city,23450000400,12345000040,NORTHSIDE REGENERATION LLC,2238 North Market St.
city,23450000500,12345000050,NORTHSIDE REGENERATION LLC,2234-2236 North Market St.
city,23450000600,12345000060,NORTHSIDE REGENERATION LLC,2230 North Market St.
city,23450000700,12345000070,NORTHSIDE REGENERATION LLC,2224-2228 North Market St.
city,23450000800,12345000080,NORTHSIDE REGENERATION LLC,2222 North Market St.
city,23450000900,12345000090,NORTHSIDE REGENERATION LLC,2220 North Market St.
city,23450001000,12345000100,NORTHSIDE REGENERATION LLC,2218 North Market St.
city,23450001100,12345000110,NORTHSIDE REGENERATION LLC,2218 North Market St.
