acquired,parcel,handle,owner,address
tax,23270001180,12327000118,NORTHSIDE REGENERATION LLC,2521 Madison St.
tax,23270001600,12327000160,NORTHSIDE REGENERATION LLC,2533 Madison St.
tax,23270002000,12327000200,NORTHSIDE REGENERATION LLC,1800 N. Jefferson Av.
tax,23270002100,12327000210,NORTHSIDE REGENERATION LLC,1802 N. Jefferson Av.
tax,23280000050,12328000005,NORTHSIDE REGENERATION LLC,2351 Madison St.
tax,23280000100,12328000010,NORTHSIDE REGENERATION LLC,2347-2349 Madison St.
tax,23280000600,12328000060,NORTHSIDE REGENERATION LLC,2335 Madison St.
tax,23280000700,12328000070,NORTHSIDE REGENERATION LLC,2331 Madison St.
tax,23280000800,12328000080,NORTHSIDE REGENERATION LLC,2329 Madison St.
tax,23290000800,12329000080,NORTHSIDE REGENERATION LLC,2221-2223 Madison St.
tax,23460000400,12346000040,NORTHSIDE REGENERATION LLC,2336 North Market St.
tax,23460000500,12346000050,NORTHSIDE REGENERATION LLC,2336 North Market St.
tax,23460001800,12346000180,NORTHSIDE REGENERATION LLC,2313 Maiden La.
tax,23460002300,12346000230,NORTHSIDE REGENERATION LLC,2329 Maiden La.
tax,23460002400,12346000240,NORTHSIDE REGENERATION LLC,2331 Maiden La.
tax,23470000100,12347000010,NORTHSIDE REGENERATION LLC,2552 North Market St.
tax,23470000200,12347000020,NORTHSIDE REGENERATION LLC,2548 North Market St.
tax,23470000250,12347000025,NORTHSIDE REGENERATION LLC,2544-2546 North Market St.
tax,23470001200,12347000120,NORTHSIDE REGENERATION LLC,2504 North Market St.
tax,23470001400,12347000140,NORTHSIDE REGENERATION LLC,2505-2509 Maiden La.
tax,23470002500,12347000250,NORTHSIDE REGENERATION LLC,2543 Maiden La.
tax,10840001300,11084000130,NORTHSIDE REGENERATION LLC,2308-2310 Montgomery St.
city,10830001500,11083000150,NORTHSIDE REGENERATION LLC,2327-2337 Benton St.
other,10940002600,11094000260,NORTHSIDE REGENERATION LLC,2331 Benton St.
other,23190001300,12319000130,NORTHSIDE REGENERATION LLC,2212 Howard St.
other,23470001100,12347000110,NORTHSIDE REGENERATION LLC,2516 North Market St.
other,10830000100,11083000010,NORTHSIDE REGENERATION LLC,2326-2348 Warren St.
