date,Franklin,Jefferson,Lincoln,St. Charles,St. Louis city,St. Louis County,Warren,St. Clair (Ill.),Madison (Ill.)
1/1/11,0.0015,0.0042,0.0103,0.0127,-0.0003,0.0001,0.0031,0.0001,-0.0029
1/1/12,-0.0010,0.0063,0.0149,0.0230,-0.0001,0.0018,0.0084,-0.0047,-0.0046
1/1/13,0.0026,0.0115,0.0250,0.0372,-0.0025,0.0025,0.0153,-0.0111,-0.0076
1/1/14,0.0058,0.0182,0.0320,0.0527,-0.0059,0.0029,0.0228,-0.0160,-0.0101
