school_id,SCHOOL_NAME,school_type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1151154990,ACAD OF ENVT SCI/MATH ELEM ,slps,,,,,,,,,,,,,,,,,,,,,,,98.34605597964376590330788804,98.61386138613861386138613861,98.78048780487804878048780488,100,99.57983193277310924369747899
1151153250,ACAD OF ENVT SCI/MATH MIDDLE,slps,,,,,,,,,,,,,,,,,,,,,,,99.02200488997555012224938875,99.34640522875816993464052288,97.51773049645390070921985816,96.29629629629629629629629630,96.11111111111111111111111111
1151151500,ACADEMY OF MATH AND SCIENCE,slps,73.95701643489254108723135272,55.16431924882629107981220657,,,,,,,,,,,,,,,85.500,86.86868686868686868686868687,87.58620689655172413793103448,90.07633587786259541984732824,90.11299435028248587570621469,89.36170212765957446808510638,91.56976744186046511627906977,90.64171122994652406417112299,93.47826086956521739130434783,94.51697127937336814621409922,94.67787114845938375350140056
1151154000,ADAMS ELEM.,slps,85.94594594594594594594594595,89.03743315508021390374331551,81.79271708683473389355742297,,,,,,,,,97.02702702702702702702702703,95.29702970297029702970297030,97.08222811671087533156498674,97.10144927536231884057971014,96.17834394904458598726114650,96.84542586750788643533123028,94.31438127090301003344481605,93.06930693069306930693069307,96.57142857142857142857142857,97.59450171821305841924398625,96.46643109540636042402826855,97.49103942652329749103942652,95.54140127388535031847133758,96.40287769784172661870503597,97.04797047970479704797047970,97.200
1151154020,AMES C.E.R.A. ELEM.,slps,60.90909090909090909090909091,61.31386861313868613138686131,,,,,,,,,,,,,,,,,,,,,,,,,
1151154040,ARLINGTON ELEM.,slps,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
1151154060,ASHLAND ELEM. AND BR.,slps,100,100,100,100,100,99.84076433121019108280254777,99.82517482517482517482517483,99.82964224872231686541737649,99.82788296041308089500860585,100,99.80353634577603143418467583,100,100,100,100,99.57173447537473233404710921,99.57446808510638297872340426,99.41860465116279069767441860,99.39209726443768996960486322,99.68553459119496855345911950,100,100,99.40476190476190476190476190,100,100,100,98.87640449438202247191011236
1151154080,BADEN ELEM.,slps,90.70351758793969849246231156,89.45054945054945054945054945,92.03084832904884318766066838,94.84536082474226804123711340,97.17647058823529411764705882,98.29545454545454545454545455,98.2500,99.33920704845814977973568282,98.84259259259259259259259259,99.15014164305949008498583569,98.83381924198250728862973761,100,100,98.96551724137931034482758621,99.30795847750865051903114187,98.00664451827242524916943522,99.65870307167235494880546075,100,99.23954372623574144486692015,,,,,,,,
1151154100,BANNEKER ELEM.,slps,99.06976744186046511627906977,100,100,100,100,100,99.62406015037593984962406015,98.89705882352941176470588235,99.20634920634920634920634921,100,100,100,100,100,,,,,,,,,,,,,
1151151250,BEAUMONT HIGH,slps,99.87421383647798742138364780,99.73045822102425876010781671,99.84387197501951600312256050,99.93150684931506849315068493,99.83857949959644874899112187,100,100,100,99.91796554552912223133716161,100,99.86595174262734584450402145,99.86440677966101694915254237,99.92972593113141250878425861,100,99.78260869565217391304347826,99.64131994261119081779053085,99.67159277504105090311986864,99.34086629001883239171374765,99.33259176863181312569521691,99.61636828644501278772378517,99.85994397759103641456582633,99.70149253731343283582089552,99.34210526315789473684210526,100,91.62895927601809954751131222,92.76315789473684210526315789,83.65217391304347826086956522
1159226990,BETTER LEARNING COMM ACADEMY,charter,,,,,,,,,,,,,,,,,,,,,,98.11320754716981132075471698,97.91666666666666666666666667,98.68421052631578947368421053,98.45360824742268041237113402,98.41269841269841269841269841,
1151151021,BIG PICTURE ELEM. ALT.,slps,,,,,,,,,,,,,,,,,,,96.82539682539682539682539683,,,,,,,,
1151151023,BIG PICTURE HIGH SCHOOL ALT.,slps,,,,,,,,,,,,,,,,,,92.30769230769230769230769231,89.41176470588235294117647059,95.68345323741007194244604317,94.21487603305785123966942149,,,,,,
1151151022,BIG PICTURE MIDDLE ALT.,slps,,,,,,,,,,,,,,,,,,96.66666666666666666666666667,96.87500,,,,,,,,
1151153020,BLEWETT MIDDLE SCH.,slps,99.37500,98.65951742627345844504021448,100,100,100,99.45355191256830601092896175,98.57142857142857142857142857,100,99.15492957746478873239436620,100,100,99.74293059125964010282776350,100,99.79209979209979209979209979,100,100,100,100,100,,,,,,,,
1151153040,BLOW MIDDLE SCH.,slps,49.00,50.64267352185089974293059126,36.73835125448028673835125448,50.92250922509225092250922509,48.90829694323144104803493450,,,54.23076923076923076923076923,56.42023346303501945525291829,60.17130620985010706638115632,63.95604395604395604395604396,68.22222222222222222222222222,75.79462102689486552567237164,75.98684210526315789473684211,82.47863247863247863247863248,83.03249097472924187725631769,,83.66336633663366336633663366,,,,,,,,,
1151152050,BLOW PREPARATORY JR. HIGH,slps,,,,,,,,,,,,,,,,,86.08695652173913043478260870,,,,,,,,,,
1151154180,BRYAN HILL ELEM.,slps,100,100,100,100,100,100,100,100,99.65397923875432525951557093,100,100,100,100,100,99.37304075235109717868338558,99.23954372623574144486692015,99.02912621359223300970873786,99.44444444444444444444444444,98.80239520958083832335329341,98.86363636363636363636363636,98.18181818181818181818181818,99.40476190476190476190476190,98.39572192513368983957219251,98.82352941176470588235294118,98.36956521739130434782608696,100,100
