date,Chlamydia,Gonorrhea
1/1/04,11856,5719
1/1/05,13328,6391
1/1/06,13509,6547
1/1/07,13710,6483
1/1/08,14092,5003
1/1/09,14519,3617
1/1/10,14660,4136
1/1/11,15517,5014
1/1/12,14843,4810
1/1/13,14783,4492
