id,neighborhood,total,pop_2010,Homicide,Rape,Robbery,Agg. Assault,total_person,Burglary,Larceny,Auto Theft,Arson,total_property,points
51,Academy,248,2816,2,4,33,66,105,41,71,26,5,143,"212.815,390.74 201.761,386.657 191.729,381.395 176.774,398.562 172.276,427.299 175.119,427.881 206.547,430.454"
74,Baden,685,7268,10,6,55,114,185,160,240,89,11,500,"289.331,178.927 321.185,167.5 337.472,162.071 351.691,157.067 354.459,160.39 348.242,164.293 345.192,167.331 341.301,169.942 338.145,174.21 336.737,183.181 332.239,208.04 330.453,220.063 330.092,223.035 330.531,227.235 333.595,232.084 338.83,238.264 349.276,250.168 328.81,261.146 322.993,247.481 322.541,242.232 317.836,237.915 311.022,233.247 296.584,227.056 274.44,219.533 282.61,211.065 287.47,184.939 288.712,184.706 289.409,183.828 289.54,183.077 288.581,182.134"
22,Benton Park,329,3532,0,1,15,22,38,72,168,50,1,291,"347.711,593.544 337.692,640.287 361.621,643.097 362.809,636.902 372.674,638.169 375.659,640.287 377.457,639.463 373.126,631.292 371.482,626.029 371.768,619.837 376.421,602.299 379.396,591.439 382.989,581.741 365.045,587.106 356.371,589.199"
30,Benton Park West,412,4404,2,3,38,73,116,101,132,63,0,296,"347.711,593.544 337.822,597.397 328.565,601.832 317.346,606.148 311.502,609.885 299.092,618.198 289.837,624.968 284.728,628.373 279.816,632.559 282.21,633.154 298.214,635.366 299.401,628.954 338.884,633.967"
5,Bevo Mill,617,12654,8,4,40,72,124,128,286,74,5,493,"172.302,640.653 163.02,653.269 161.403,657.82 161.222,662.135 153.777,676.986 159.14,677.585 163.64,680.856 163.95,691.277 162.735,693.604 159.67,695.425 165.126,701.396 157.81,709.271 184.608,722.802 191.794,715.32 194.471,714.494 203.727,701.875 223.908,712.424 231.83,697.831 233.771,691.277 229.723,677.726 221.515,663.79 219.991,659.604 219.859,645.653"
4,Boulevard Heights,270,8708,0,3,10,17,30,64,141,32,3,240,"169.483,786.873 155.264,782.428 135.083,770.56 126.836,767.506 121.845,764.068 116.533,761.56 107.702,755.289 97.619,747.739 89.166,740.785 108.517,729.45 128.737,717.352 139.414,706.178 141.728,705.198 158.935,694.61 161.855,698.11 165.074,701.449 157.73,708.884 184.583,722.494 173.282,736.233 210.372,755.639 191.395,772.535 180.832,773.775 177.989,788.565 174.861,788.617"
1,Carondelet,817,8661,3,5,56,56,120,154,389,141,13,697,"210.668,755.885 220.844,760.733 227.201,753.416 235.412,749.033 218.956,740.619 246.801,708.985 269.979,721.51 269.152,724.537 303.9,743.138 295.473,756.932 279.146,776.919 263.463,789.38 260.776,795.352 248.945,791.009 236.485,782.774 233.927,785.646 221.296,777.046 222.252,775.935 214.626,771.672 180.832,801.028 177.537,803.186 176.05,797.927 175.301,793.597 175.145,789.495 178.442,789.275 180.382,773.532 190.863,773.117"
61,Carr Square,213,2774,1,3,20,54,78,31,75,28,1,135,"383.44,474.937 382.835,453.103 448.207,467.014 446.242,472.725 447.304,476.347 444.459,487.565"
38,Central West End,1207,14471,0,6,85,59,150,133,801,121,2,1057,"277.425,498.192 258.732,501.581 248.547,502.161 241.979,501.824 236.447,502.758 231.212,502.758 224.914,500.401 218.192,499.123 214.017,498.892 208.486,499.24 198.595,502.161 196.655,498.09 195.905,494.34 195.777,490.255 201.684,457.512 167.841,453.192 172.004,426.911 175.895,427.623 236.317,433.22 295.978,459.269 285.363,474.911"
41,Cheltenham,82,620,0,0,4,2,6,4,64,7,1,76,"120.539,532.191 121.146,524.243 125.775,503.093 167.647,507.424 164.066,527.163"
42,Clayton-Tamm,98,2251,0,0,4,2,6,18,58,16,0,92,"119.958,532.191 107.38,533.819 95.422,537.44 94.09,534.169 90.795,531.83 87.95,527.048 84.654,525.534 89.141,507.772 90.498,507.888 91.699,499.82 125.944,502.991"
11,Clifton Heights,83,3074,3,0,1,3,7,10,56,10,0,76,"120.088,545.623 112.331,547.265 107.38,548.545 100.204,551.583 96.326,552.642 89.888,555.563 83.45,558.37 76.575,561.859 72.102,566.19 68.055,571.566 66.415,576.13 64.473,580.684 117.696,586.175 119.351,582.788 121.29,570.638 123.683,557.426 124.29,553.341"
66,College Hill,149,1871,4,0,14,41,59,24,44,19,3,90,"364.14,355.14 374.029,346.025 383.598,336.098 388.976,332.606 398.697,338.903 405.562,346.491 412.734,357.001 422.197,372.151 414.843,371.945 396.886,377.078 395.698,374.635 388.678,369.62 384.63,367.858 377.91,360.97"
62,Columbus Square,158,1869,0,0,18,45,63,23,57,14,1,95,"444.459,487.8 447.433,476.229 446.396,472.96 448.635,467.243 472.265,472.377 474.941,477.871 475.563,492 472.265,492.814"
26,Compton Heights,78,1315,1,0,1,1,3,23,43,9,0,75,"329.897,561.047 325.864,581.146 285.504,576.002 290.572,552.398 301.058,553.458 309.267,555.681 319.582,558.832"
77,Covenant Blu - Grand Center,370,3562,4,2,26,34,66,27,245,31,1,304,"291.169,466.662 315.25,433.258 324.816,437.693 339.76,453.928 344.413,458.595 344.117,470.619 338.884,485.925 328.41,483.819"
47,DeBaliviere Place,197,3466,0,0,17,12,29,20,123,24,1,168,"167.943,453.35 131.788,449.755 132.615,445.074 129.977,444.841 133.572,422.517 166.91,425.683 172.171,427.184"
35,Downtown,1354,3721,0,7,58,120,185,35,1026,107,1,1169,"471.411,560.012 453.016,551.271 450.329,551.116 421.782,545.312 444.033,487.695 472.615,492.972 479.918,491.33 504.299,494.301 502.94,501.554 500.705,512.062 495.921,524.798 490.078,541.151 482.763,563.813"
36,Downtown West,968,3940,3,14,85,96,198,33,651,84,2,770,"444.187,487.8 383.314,474.833 382.86,485.692 364.167,518.295 364.621,529.024 362.967,533.124 422.042,545.273"
16,Dutchtown,1461,15770,7,27,112,235,381,421,448,198,13,1080,"230.022,701.305 232.09,702.251 232.866,701.54 270.987,722.12 285.182,678.385 323.176,683.182 329.445,677.455 334.099,658.993 272.773,651.159 219.991,645.783 219.834,657.588 220.895,662.731 225.368,670.433 229.854,678.037 231.805,685.289 234.195,691.133"
10,Ellendale,170,1575,0,1,5,9,15,11,136,8,0,155,"10.75,621.324 16.565,608.18 19.125,602.736 21.8,592.746 24.193,586.253 31.135,573.055 36.448,557.632 43.183,554.349 53.809,550.977 95.681,537.828 104.937,534.791 120.488,532.387 119.158,541.797 119.983,545.414 109.513,547.588 104.109,549.683 88.636,555.925 78.396,560.736 72.722,565.171 67.345,572.125 65.534,577.955 62.237,583.397 55.438,588.294 46.931,594.32 43.26,597.127 37.935,603.316 33.474,607.183 28.743,609.806 21.142,613.375 17.095,616.349 14.251,618.171 10.671,622.127"
67,Fairground Neighborhood,207,1793,2,4,19,39,64,19,97,25,2,143,"350.685,373.472 359.359,361.086 364.465,355.009 378.205,361.086 384.8,368.092 388.808,369.955 395.993,374.737 397.962,380.229 381.203,402.893 368.924,397.41 377.624,385.131"
39,Forest Park SE,307,2918,0,0,19,25,44,39,189,35,0,263,"276.972,497.958 262.766,500.765 255.889,501.93 248.547,501.694 241.527,501.694 235.993,502.628 231.662,502.524 226.105,501.229 220.739,499.601 216.112,498.892 211.627,498.773 206.675,499.472 202.499,507.308 202.797,512.438 199.655,526.348 197.134,540.697 195.93,546.309 203.998,545.96 211.483,545.96 218.349,545.79 248.869,519.795 260.012,513.138 266.361,508.159 276.677,499.177"
53,Fountain Park,199,1484,3,3,24,47,77,23,79,18,2,122,"233.15,397.516 212.956,390.509 206.547,430.918 227.023,432.314"
24,Fox Park,173,2632,3,3,19,16,41,29,78,25,0,132,"353.695,563.037 344.413,561.642 338.572,561.396 329.897,560.709 325.41,581.382 322.593,595.394 320.486,604.984 347.711,593.302 349.495,583.954"
43,Franz Park,90,2442,0,0,3,4,7,11,60,10,2,83,"36.448,557.632 46.182,516.446 74.364,519.251 75.85,523.167 81.991,524.396 85.585,525.961 88.055,527.202 95.604,537.415 46.763,553.068"
19,Gravois Park,720,5225,0,6,51,116,173,184,280,79,4,547,"272.642,650.8 274.737,636.772 280.269,632.806 298.045,635.259 299.544,628.954 338.884,634.203 333.776,658.4"
78,Hamilton Heights,321,3105,4,4,33,69,110,60,105,35,11,211,"114.58,364.797 128.194,346.813 191.756,381.381 176.346,398.188"
44,Hi-Point,60,2196,0,0,3,2,5,7,41,7,0,55,"46.311,516.446 48.871,506.287 49.698,504.527 51.792,497.754 57.157,493.253 63.44,496.654 91.479,499.511 90.213,507.682 88.712,507.446 84.602,525.261 81.009,523.736 75.929,522.872 74.157,518.836"
3,Holly Hills,184,3701,0,0,14,8,22,54,92,14,2,162,"230.022,701.305 247.058,709.491 219.55,741.06 184.557,722.816 191.421,715.46 194.587,714.635 203.831,701.889 224.166,712.295"
65,Hyde Park,316,2668,5,3,21,81,110,46,113,37,10,206,"381.503,403.126 399.898,411.178 445.648,420.41 442.506,414.321 440.259,408.736 439.959,402.659 438.473,398.214 427.408,378.59 422.313,372.178 414.996,371.945 397.184,377.439 398.089,379.881"
59,Jeff Vanderlou,584,5557,14,5,49,131,199,73,242,65,5,385,"388.522,406.047 384.023,407.212 382.252,411.413 382.989,453.219 382.692,482.669 343.226,473.786 344.545,470.271 344.117,458.364 339.181,453.334 324.986,437.693 314.644,432.899 316.287,431.851 318.392,431.257 348.747,388.065"
40,Kings Oak,45,180,0,0,2,2,4,2,36,3,0,41,"202.627,510.812 167.943,507.072 163.896,527.163 179.036,525.173 190.541,521.681 201.143,520.507"
55,Kingsway East,257,3542,5,10,31,56,102,49,66,35,5,155,"213.269,390.872 241.073,400.437 273.224,355.606 246.903,344.396"
52,Kingsway West,304,3441,6,4,32,83,125,44,87,41,7,179,"213.269,390.625 246.903,344.514 224.488,334.235 191.576,381.395 201.761,386.657"
20,Kosciusko,97,14,0,0,9,17,26,7,53,10,1,71,"455.215,552.642 483.318,564.085 481.833,570.171 454.478,614.229 414.843,648.46 398.697,656.77 377.755,639.125 378.815,636.655 398.387,611.295 401.23,610.362 420.815,582.788 432.785,570.055 435.628,567.833 437.723,561.757 449.088,557.787"
32,Lafayette Square,96,2078,0,0,7,6,13,15,54,13,1,83,"396.448,540.245 363.107,532.89 357.279,546.566 353.527,562.686 365.329,564.446 376.421,567.472 386.284,572.396 390.163,563.037 392.271,552.978"
34,Lasalle,131,1299,1,4,7,24,36,12,61,22,0,95,"455.515,552.515 452.836,555.086 450.277,556.842 412.734,571.918 398.27,574.813 413.537,557.983 417.995,553.198 421.915,545.362"
54,Lewis Place,123,1673,1,5,9,36,51,21,39,12,0,72,"270.716,413.739 232.892,397.516 227.036,432.549 236.77,433.258 251.713,440.02"
9,Lindenwood Park,261,9486,0,1,8,14,23,37,167,33,1,238,"21.646,662.626 7.375,630.49 11.408,621.776 16.036,616.981 23.586,612.146 31.509,608.811 35.259,606.174 40.494,600.641 45.354,595.717 50.965,591.812 57.61,587.131 62.69,583.397 64.345,580.758 117.594,586.317 116.533,587.844 113.185,591.452 109.589,595.444 107.482,600.641 105.997,611.502 104.188,621.609 102.921,625.707 100.528,628.928 98.951,633.41 85.716,631.668 80.802,632.597 74.157,635.983 36.073,654.212"
18,Marine Villa,262,2691,3,4,17,40,64,67,91,37,3,198,"323.354,683.041 347.416,685.599 356.091,681.28 368.419,677.559 398.335,656.812 377.705,639.448 375.595,640.561 373.448,638.869 367.307,637.575 362.228,640.275 361.531,643.25 337.925,640.379 330.348,676.058"
71,Mark Twain,273,4188,8,4,24,60,96,55,82,32,8,177,"238.425,297.316 284.728,272.263 325.115,318.129 330.192,320.572 301.058,321.747 294.011,321.038 286.087,318.595 269.631,310.656"
70,Mark Twain I-70 Ind.,177,1295,4,1,15,52,72,18,68,17,2,105,"165.283,299.188 198.04,257.41 204.309,260.084 209.39,262.541 212.53,264.867 217.018,269.897 216.563,274.436 217.92,281.324 219.409,286.109 225.394,291.717 238.708,297.432 255.294,304.671 252.166,309.003 255.462,310.099 255.086,313.073 254.258,317.986 255.462,318.502 252.696,322.24 259.419,325.16 247.007,344.476 198.775,322.936 177.084,309.105"
23,McKinley Heights,156,1497,0,0,12,20,32,34,67,23,0,124,"347.659,593.205 356.091,589.33 384.478,581.495 389.129,573.327 378.037,568.529 368.473,564.78 356.371,562.804 353.695,562.804 349.65,584.302"
28,McRee Town,82,1037,1,1,3,5,10,19,43,10,0,72,"280.556,516.188 261.552,512.089 249.166,519.689 218.349,545.856 270.832,550.42 273.224,534.415 276.52,528.558"
37,Midtown,479,5652,0,7,40,50,97,20,330,32,0,382,"362.967,533.124 261.731,511.972 276.702,499.472 285.504,475.182 291.19,466.662 329.343,483.946 338.751,486.157 343.082,473.786 383.017,482.422 383.017,486.041 364.167,517.945 364.322,529.734"
17,Mount Pleasant,341,4408,3,8,24,33,68,89,132,50,2,273,"273.083,715.343 269.901,724.833 304.507,743.616 331.733,699.82 335.456,694.209 341.273,689.282 347.389,685.885 285.207,678.281"
64,Near N. Riverfront,195,553,1,2,17,19,39,13,119,22,2,156,"389.582,332.709 442.958,304.115 474.812,350.345 488.723,383.27 480.346,401.483 490.209,421.573 493.351,436.064 493.351,450.077 494.991,458.595 494.538,463.961 498.004,474.47 504.43,492.945 504.272,494.212 479.739,491.301 476.143,492.115 475.396,477.871 448.815,425.928 443.128,415.136 440.736,408.826 439.276,398.665 437.038,393.52 430.498,382.52 420.789,368.157 409.465,351.868 403.944,343.932 398.541,338.786"
14,North Hampton,272,7892,0,2,11,14,27,39,171,35,0,245,"184.854,602.299 110.676,594.706 108.453,597.979 107.677,604.052 104.692,621.587 102.895,626.029 100.491,630 99.3,633.853 163.615,640.173 168.85,639.823 172.429,640.405 178.417,631.045"
73,North Point,241,3966,3,2,17,53,75,41,79,39,7,166,"233.396,213.872 249.477,194.274 289.331,179.044 288.297,182.134 289.486,182.961 289.705,183.763 288.66,184.641 287.52,184.888 282.61,211.194 255.591,238.315"
